gene	TCGA-BH-A18U-01	TCGA-BH-A1EO-01	TCGA-BH-A1EV-01	TCGA-BH-A0C0-01	TCGA-AC-A2FM-01
ABCA6	0.167238	1.727687	0.202941	0.314507	0.257739
ABCA7	1.042881	1.305716	5.396814	6.007276	2.528673
ABCA8	0.057277	2.410405	0.084142	0.17134	0.588622
ABCA9	0.283617	1.471061	0.086878	0.310122	0.202252
ABCB1	0.388201	0.854055	0.101836	0.816128	0.613976
ABCB10	5.182318	7.376858	5.787143	4.677131	5.824285
ABCB11	0	0.005148	0.186935	0.017195	0.019224
ABCB4	0.180456	0.559068	0.17132	0.233418	0.273075
ABCB5	0.027826	0.034374	0	0	0.016045
ABCB6	1.892935	0.183402	0.623145	1.178367	1.410956
ABCB7	10.759923	9.240707	8.139383	7.209274	5.812321
ABCB8	2.738387	3.218032	2.042873	4.323618	7.443869
ABCB9	1.254895	0.237416	0.983766	1.044555	1.87
ABCC1	8.431109	10.053635	7.642576	14.469184	5.481537
ABCC10	2.463782	2.253749	3.431697	2.711965	3.850733
ABCC11	9.224004	0.351361	12.357931	4.318424	0.164009
ABCC12	0.451279	0	0.262821	0.190062	0
ABCC2	0.284165	0.085099	0.683095	0.103037	0.270114
ABCC3	3.394335	3.571799	1.695632	4.138714	0.303839
ABCC4	1.301281	1.851666	11.102881	1.095926	0.206847
ABCC5	6.593916	5.05027	15.738407	15.44015	5.901193
ABCC6	0.21937	0.691072	2.158843	0.530195	0.150647
ABCC8	3.843103	0.117366	2.178302	0.098003	6.177222
ABCC9	0.865505	3.099549	1.056094	0.533151	0.534653
ABCD1	2.365632	2.580895	4.002773	16.921836	3.781793
ABCD2	0.090329	0.208292	0.021665	0.599878	0.142864
ABCD3	14.564033	12.900452	7.701743	15.012784	13.935404
ABCD4	1.58624	2.685247	2.298257	3.848189	6.643531
ABCE1	15.503058	16.295248	9.75564	13.872031	9.377849
ABCF1	25.229128	18.484968	20.303044	19.038505	18.809464
ABCF2	13.486001	17.926272	8.902277	19.414281	12.937832
ABCF3	10.867831	7.1601	13.911549	23.477489	16.23086
ABCG1	5.536494	9.214387	4.50132	4.977572	20.39405
ABCG2	0.371929	1.608074	0.34497	0.365383	1.096144
ABCG4	0.023105	0.038056	0.021551	0.049433	0.023685
ABCG5	0.030294	0.021385	0.095364	0.05357	0.022182
ABCG8	0	0	0.373993	0.016617	0
ABHD1	0.8067	0.131725	0.722425	0.425628	0.092676
ABHD10	14.926827	8.084073	10.6693	7.336769	13.591706
ABHD11	17.217526	13.44955	12.095991	26.466211	51.334405
ABHD12	35.527232	19.355959	24.307481	27.088562	31.640005
ABHD12B	0.322419	0.101437	1.163203	2.087668	4.393241
ABHD13	3.730751	5.702754	3.114045	2.642301	4.866318
ABHD14A	3.980802	3.579435	3.807687	4.841868	4.29589
ABHD14A-ACY1	0.111594	0.012254	0.023419	0.122785	0.099143
ABHD14B	70.279431	20.007149	26.966902	25.000203	21.092653
ABHD15	4.5985	4.517898	36.236364	6.928695	7.49822
ABHD16A	1.558365	1.768639	1.326062	0.730433	3.183061
ABHD16B	0	0	0	0	0
ABHD17A	1.806869	2.306561	3.489233	9.006217	6.056726
ABHD17B	4.885809	8.110076	4.944031	7.280972	5.527173
ABHD17C	9.725231	10.922558	5.90116	2.838748	10.906736
ABHD18	1.726246	1.907773	1.069642	2.258228	2.372162
ABHD2	12.912065	30.46678	19.801376	48.986888	21.200014
ABHD3	2.76187	2.465833	2.959961	8.327428	6.327703
ABHD4	9.560649	13.336589	10.754279	12.703224	20.882724
ABHD5	11.551655	6.403493	6.539936	5.486695	6.779311
ABHD6	2.130715	2.164789	1.496794	1.542368	1.862327
ABHD8	3.372825	4.643442	4.357033	17.433254	20.81225
ABI1	17.614497	20.318241	16.58067	23.050393	13.565056
ABI2	3.161745	3.865401	2.025922	2.029064	1.708984
ABI3	2.595804	4.199935	2.317981	8.754117	4.09898
ABI3BP	0.500076	6.096596	0.252365	2.674495	2.018957
ABITRAM	13.560012	7.432015	9.990058	8.855289	8.024331
ABL1	11.04321	19.017236	22.588679	24.781241	24.960261
ABL2	3.566677	6.374676	4.113359	3.178447	2.721318
ABLIM1	17.389322	8.725216	25.790538	18.880681	1.849134
ABLIM2	0.220902	0.802211	0.086574	0.413634	0.826672
ABLIM3	7.449097	12.019732	9.719647	0.9715	4.21894
ABO	0.060809	1.894654	0.13825	0.515746	0.137658
ABR	4.665188	6.714694	4.680253	8.842523	14.979802
ABRA	0	0.009625	0	0	0.00599
ABRACL	29.864073	18.119822	17.991108	52.421744	10.548445
ABRAXAS1	0.985371	2.001462	0.957932	1.010736	0.997379
ABRAXAS2	11.439493	8.321954	11.134062	10.412475	10.49667
ABT1	13.396918	8.074635	13.192511	11.683052	10.409084
ABTB1	2.432296	2.527054	2.97531	2.841149	8.832786
ABTB2	1.408238	1.306378	0.98172	1.406987	2.21683
AC002094.3	0	0	0	0	0
AC002310.13	0	0	0	0	0
AC002316.1	3.408218	1.349291	3.079823	3.630122	8.074333
AC002996.1	0.020535	0	0.193925	0.169456	0
AC003002.1	0	0	0	0	0
AC003002.2	0.401708	0.050896	0.291819	0.127498	1.140352
AC003002.3	0.159662	0.153403	0.055845	0	1.159332
AC003006.1	0.019327	0	0	0	0.475489
AC004076.1	0	0.077384	0.032866	0.021539	0.89902
AC004080.3	0	0	0	0	0
AC004151.1	2.48018	4.297611	2.19626	18.734646	7.235796
AC004158.1	0	0	0.045048	0	0.044009
AC004223.3	0	0	0	0.01106	0.008243
AC004691.2	0.010516	0.05196	0.044136	0	0.021559
AC004754.3	0.129253	0.059137	0.210975	0.118513	0.080971
AC004813.1	0	0.141423	0	0.059046	0
AC004824.2	0	0	0	0	0
AC004832.3	0	0	0	0	0
AC004953.1	0	0	0	0	0
AC004997.1	0.039133	0.064455	0.082125	0.032293	0.040115
AC005042.1	0	0	0	0	0
AC005154.5	0	0	0.02459	0.064461	0
AC005261.1	5.60277	5.672722	5.585815	4.866584	24.964623
AC005324.3	0.058394	0.004809	0.082719	0.052203	0.002993
AC005477.1	0	0	0.031794	0	0
AC005697.1	0	0	0.029026	0	0.198495
AC005702.1	0	0	0	0	0.034311
AC005726.1	0.200115	0.222484	1.748101	0.55046	0.67183
AC005747.1	1.578043	12.672936	3.273239	3.575642	2.478783
AC005779.2	0.029271	0.19285	0.215003	0.120776	0
AC005833.1	0	0.022358	0	0	0
AC005837.2	0	0	0	0	0
AC006059.2	0.053486	0	0.028062	0	0.164486
AC006328.4	0	0	0	0	0
AC006445.1	0	0	0	0	0
AC006486.1	0	0	0	0	0
AC006538.2	0	0	0	0	0.060786
AC007040.2	0.043404	0.005957	0.011386	0.024873	0.037078
AC007163.2	0	0	0	0	0
AC007326.1	0	0	0	0	0
AC007557.5	0	0	0	0	0
AC007906.1	0	0	0.019395	0	0
AC007906.2	0.167846	0.299495	0.190799	0.788733	0.444489
AC007998.2	0	0	0.037128	0	0
AC008074.1	0.059553	0	0.031245	0.095558	0.071223
AC008162.2	0	0	0	0	0
AC008403.1	0	0	0	0	0
AC008622.1	0	0	0	0	0
AC008641.1	0	0.384302	0	0.641804	0
AC008686.1	0.041925	0.207163	0.043992	0.172986	0.128933
AC008687.1	0	0	0	0	0
AC008687.4	0.261245	0	0.034266	0.044913	0.334755
AC008695.1	0	0	0	0	0
AC008758.1	0	0	0	0	0.003663
AC008758.5	0.130464	0	0	0	0
AC008759.1	0	0	0	0.476177	0.177456
AC008763.3	0	0	0	0	0
AC008764.4	0.013597	0.022396	0.028536	0	0.125448
AC008770.2	0.108828	0	0.106581	0.029935	0.171059
AC008810.1	0	0	0.045048	0	0
AC008870.1	0.003221	0	0.162238	0.039872	0.019812
AC008878.1	0	0	0	0.069849	0
AC008878.3	0	0.005259	0	0.013175	0.003273
AC008914.1	0	0	0	0	0
AC008982.1	0.016718	0	0	0	0.017138
AC009022.1	0.042931	0	0	0.059046	0
AC009060.2	0	0.069598	0	0	0
AC009065.4	0	0	0	0	0
AC009121.2	0	0	0	0	0
AC009133.22	0	0	0	0	0
AC009163.5	0	0	0	0	0
AC009336.19	0.004572	0	0.019191	0.025154	0.037497
AC009491.1	0	0	0	0	0
AC009491.2	0	0	0	0	0
AC009779.4	0.293547	0.060437	0.110695	0.195558	0.394954
AC009977.1	0	0	0	0	0
AC010184.1	0	0	0	0	0
AC010255.3	0	0.016667	0	0	0
AC010287.1	0	0	0.056404	0	0
AC010319.2	0	0	0	0	0
AC010325.1	0.053221	0.043829	0.027922	0	0.081835
AC010326.1	3.832445	3.448648	4.650249	2.533739	18.801477
AC010422.5	0	0	0	0	0
AC010522.1	0.458391	0.411823	0.583022	0.229255	8.287316
AC010531.1	0.016893	0.027825	0.053179	0.046468	0.173173
AC010646.1	0	0	0	0	0
AC010655.1	0	0	0	0	0.250052
AC011005.1	0.669307	0	0.075247	0.147944	0.196032
AC011195.3	0	0	0.016562	0	0.226518
AC011380.1	0	0	0	0	0
AC011448.1	0.418615	0.12928	0.183023	0.491783	0.303964
AC011455.2	0	0	0	0	0
AC011462.1	0.006851	0.011284	0.014377	0	0.021068
AC011479.2	0.530744	0.194262	0.092819	0.162214	1.148591
AC011499.1	0.055419	0.04564	0	0.228663	0.05681
AC011530.1	0	0.092608	0	0	0
AC012005.4	0	0	0	0	0
AC012184.2	0	0	0	0	0
AC012309.1	0.038934	0.048096	0.061281	0	0.039912
AC012363.2	0	0	0	0	0.392939
AC012531.3	0.02072	0	0	0	0.02124
AC013286.1	0	0	0	0	0
AC013394.1	0.061214	0.016804	0.074938	0.05145	0.020917
AC013470.2	0	0	0.27203	0	0
AC013489.1	0.19117	0.067473	0.300894	0.169025	0.531917
AC016142.1	0	0	0	0	0.044009
AC016549.1	0	0.02943	0.018749	0	0.009158
AC016577.1	0	0	0	0	0
AC016734.1	0	0	0	0	0
AC016753.2	0	0	0.225241	0	0
AC017028.10	0	0	0	0	0
AC017081.1	0	0	0	0	0
AC018512.1	0.670801	0	0	0.461297	0
AC018630.2	0.02985	0.163886	0.031322	0.041055	0.275397
AC018709.1	0	0	0	0	0
AC018755.2	0	0.011479	0	0.009585	0
AC018867.1	0.2236	0	0	0	0.229214
AC018902.1	0	0	0	0	0
AC019206.1	0	0.138108	0.175969	0.691945	0.515732
AC020909.1	0	0	0	0	0
AC020929.1	0.45026	0.112505	0.174065	0.134207	0.145757
AC021066.1	0.625409	0.631353	0.874996	1.193128	0.096511
AC021092.2	1.318952	1.519231	1.012274	0.557693	0.468199
AC022210.1	0.298134	0	0	0	0
AC022819.2	0	0	0	0	0
AC022966.1	6.608791	4.717609	3.09325	10.75343	10.438177
AC023055.1	0.114359	0.073251	0.23333	0.096119	0.071641
AC024060.1	2.29989	1.262705	0.804431	0.351464	1.833715
AC024361.1	0	0	0	0	0.611238
AC024592.3	0.014682	0	0	0.010097	0
AC025165.3	0.118551	0.039053	0.049759	0.03261	0.243055
AC026449.1	0	0	0	0	0.261959
AC026464.3	0	0	0	0	0
AC026464.4	0.012538	0	0.013157	0.120713	0.025706
AC026464.6	0	0	0	0	0
AC026786.1	0	0	0	0	0
AC034102.2	0	0	0	0	0
AC037459.1	0.040315	0.022134	0.056404	0.018483	0.041327
AC040160.1	3.741401	0.890166	0.876005	0.586189	1.747634
AC055733.1	0	0	0.045048	0.118092	0
AC055866.1	0.975711	0.80354	1.535733	1.341954	6.001249
AC063956.1	0	0	0	0	0
AC064829.1	0	0	0	0	0
AC068533.4	0.122228	0.05752	0.054967	0.024015	0.0179
AC068580.4	0.242215	0.212773	0.321934	0.77731	0.364168
AC068775.1	0	0	0	0.022187	0
AC069063.1	0	0	0	0	0
AC069063.2	0	0	0.025634	0.0168	0
AC069368.1	0.012607	0	0.026457	0.017339	0.012924
AC069499.1	0.335401	0	0.351939	0	0
AC069547.1	0	0	0	0	0
AC073072.1	0	0	0	0	0
AC073130.2	0	0	0.351939	0	0.343822
AC073333.1	0	0	0.044339	0	0.129948
AC073610.2	0.10287	0.084718	0.071962	0.070742	0.052727
AC073610.5	0	0	0	0	0
AC073657.1	0.175948	0.289801	0.923118	0.362987	0.180365
AC073896.1	0.015289	0	0.048128	0.105139	0.015673
AC074033.1	0	0	0	0	0
AC079355.1	0	0	0	0	0
AC079907.1	0	0	0	0	2.095674
AC083800.1	0	0	0	0	0
AC087350.1	5.36641	6.629203	5.45505	2.76778	6.360699
AC087392.1	0	0	0	0	0
AC087498.1	0	0.029333	0	0.024494	0
AC087651.1	0	0	0	0	0
AC087651.2	0	0	1.340719	0	0.261959
AC090154.1	2.259541	1.085484	1.383057	1.294868	3.66743
AC090527.3	0	0.050032	0	0	0.015569
AC091167.6	0	0	0.065224	0.042746	0.03186
AC091180.1	1.894027	0.519938	0	0.434161	0.97079
AC091230.1	9.395797	6.697079	6.159528	8.60877	16.742819
AC091959.3	0.038899	0.032035	0.061225	0.040125	0.009969
AC092042.3	0.029201	0.224447	0.173629	0	0.039912
AC092073.1	0	0	0.034688	0	0.016944
AC092143.1	0.011599	0	0.012171	0	0.005945
AC092279.1	3.598078	3.006774	2.26663	2.804916	3.160879
AC092384.1	0	0	0	0	0
AC092587.1	0.168452	0.158546	0.050502	0.13239	0.024669
AC092647.5	0.027886	0	0.068274	0	0.171514
AC092718.3	0.47902	0.308734	0.371516	0.229156	0.469697
AC092835.1	0.454188	0.253199	0.82119	0.115324	0.035815
AC093012.1	3.958311	7.315795	4.072461	2.973802	7.954134
AC093155.3	0.007998	0.013173	0.008392	0.032999	0.024595
AC093323.1	10.393791	10.200539	5.255781	4.330719	38.148571
AC093525.1	0	0	0	0.037151	0.02769
AC093525.2	0	0	0.01738	0	0.016979
AC093668.1	0	0	0	0	0
AC093899.2	0	0	0	0	0
AC097637.1	0.008464	0.006971	0	0	0
AC099489.1	0.097896	0.019879	0.060508	0.084843	0.045366
AC099811.2	0	0	0	0	0
AC099850.3	0	0	0	0	0
AC100821.2	0	0.441947	0	0	0
AC100868.1	0	0	0	0.477164	0
AC104057.1	0	0	0	0	0
AC104073.2	0	0.029268	0.018646	0.02444	0
AC104109.3	0	0	0.104926	0	0.136674
AC104389.1	0	0	0	0	0
AC104389.2	0	0	0	0	0
AC104581.1	0	0.552434	0.351939	0	0.343822
AC104650.2	0	0	0.201108	0	0.196469
AC104981.1	0	0	0	0	0
AC105009.1	1.073282	0.441947	1.126204	0.369037	0.275057
AC107081.1	0	0	0	0	0
AC107871.1	0.022422	0	0	0	0.045971
AC108925.1	0.042931	0	0.045048	0	0
AC109583.1	0.021763	0	0.05709	0.014966	0.033464
AC109829.1	0.117085	0.096425	0.511911	0.026839	0.120025
AC109829.2	0	0	0	0	0
AC110602.1	0.298134	0.245526	0.625669	0	0.305619
AC110615.1	0.01426	0	0	0.019612	0.073089
AC112719.2	0	0	0	0	0
AC114267.1	0	0	0.015029	0	0.029366
AC114494.1	0.426335	0.384544	0.191725	0.321104	1.196655
AC115220.1	0	0	0	0	0
AC117457.1	0	0	0	0	0
AC118470.1	0	0	0.02028	0	0
AC118549.1	3.1312	6.234748	3.544392	4.768643	3.308748
AC118758.1	0	0	0	0	0
AC119396.1	0.082666	0.119138	0.119271	0.611114	0.381337
AC126407.1	0	0	0	0	0
AC129492.3	0	0	0	0	0
AC131263.1	2.918574	4.807141	3.457644	1.683328	3.66743
AC134669.1	0.064812	0.02135	0.027203	0.089139	0.039863
AC135050.2	0.029638	0	0.055978	0.089678	0.012153
AC135068.1	0	0	0	0	0
AC135068.3	0	0	0	0	0
AC136428.1	0.184518	0	0.096808	1.776454	0
AC138028.1	0	0	0	0	0
AC138647.1	0	0	0	0	0
AC138696.1	0.011114	0.018306	0.029156	0.007643	0.165205
AC138811.2	0.168578	0.034708	0.066334	0.318802	0.129608
AC138894.1	0.018709	0.030816	0	0.051464	0.057537
AC138969.1	0.026502	0.013431	0.064175	0.072901	0.068965
AC139530.2	0	0	0	0.023041	0
AC140504.1	0	0	0	0	0
AC187653.1	0	0	0	0	0
AC233723.1	0.057293	0.330281	0.270529	1.378965	0.910332
AC234582.1	0.371929	0.087514	1.616827	2.119224	0.381267
AC234582.2	0	0	0	0	0
AC236972.4	0	0	0	0	0
AC242988.1	0.643969	0	1.126204	1.180919	0
AC243547.3	0.014702	0	0.06171	0	0
AC243945.1	0	0	0	0.059046	0
AC243967.1	0.067455	0	0	0	0
AC244197.3	0.33064	0.072078	1.096952	0.387874	1.131465
AC244517.10	0.029378	0	0	0	0
AC245033.1	0	0.030133	0	0.025162	0
AC245748.1	0	0	0	0	0
AC253572.1	0.68205	1.123395	0.879692	1.446183	1.820767
ACAA1	7.834385	4.511515	4.913869	4.035209	13.765249
ACAA2	3.120178	8.004188	3.540481	11.992256	11.974101
ACACA	18.765109	10.204733	7.837455	15.149593	19.729775
ACACB	1.140986	0.943308	1.402223	1.209007	5.694567
ACAD10	2.732777	2.393075	4.933053	4.569269	8.141768
ACAD11	0.079446	0.163569	0.267955	0.140487	0.142522
ACAD8	4.535342	5.651548	2.816295	2.561759	3.448376
ACAD9	12.192553	9.756128	13.145119	16.38024	17.384482
ACADL	0.007346	0.096799	0.566571	0.015156	0.067776
ACADM	5.738906	10.999238	8.448295	8.971703	8.570883
ACADS	3.386432	2.523503	3.068565	3.746118	29.691224
ACADSB	9.221989	13.586952	9.965689	16.113742	49.486558
ACADVL	26.1658	26.06987	20.014716	43.041958	57.061515
ACAN	0.360122	0.284421	0.213719	0.182692	0.13768
ACAP1	0.724585	0.518116	0.339181	3.917633	0.678284
ACAP2	7.095362	9.060746	6.738687	7.117859	6.195839
ACAP3	1.650313	1.773005	11.523486	7.450288	6.264898
ACAT1	13.273792	11.515629	5.859931	8.295408	8.600465
ACAT2	11.695254	3.466492	2.695659	6.443344	4.265019
ACBD3	35.537094	38.589448	39.003231	25.682023	34.487473
ACBD4	3.427908	1.931177	1.15424	3.752921	10.244717
ACBD5	11.797263	6.970446	11.14223	10.14156	12.659807
ACBD6	5.207818	3.522867	4.362691	4.114824	5.654931
ACBD7	5.663748	0.371731	0.315758	0.975559	0.936443
ACCS	0.784789	0.500661	1.359912	1.379614	1.308717
ACCSL	0	0	0.018096	0	0.00884
ACD	5.319789	3.200447	2.704567	4.9121	7.865118
ACE	1.175927	1.642045	2.562737	2.782007	1.961078
ACE2	0.06151	0.067542	0.167812	0.152277	0.037833
ACER1	0.16712	0.440418	0.035072	0.245174	0.057105
ACER2	3.143594	3.933683	8.227629	4.204848	3.347882
ACER3	8.198364	4.699023	14.964025	2.295008	2.386957
ACHE	0.06904	0.597001	0.04075	1.41245	0.207896
ACIN1	11.506267	11.727359	20.243856	16.459629	26.025065
ACKR1	1.139024	4.406878	6.080218	6.423982	4.239486
ACKR2	0.158961	0.286065	4.982356	0.117412	0.401345
ACKR3	41.666919	24.273805	8.850526	8.286178	18.886127
ACKR4	1.402397	3.779783	0.408763	0.194828	0.101649
ACLY	86.032288	37.744652	57.793237	65.03884	83.674975
ACMSD	0.057807	0.057128	0.139512	0.039753	0.041481
ACO1	5.120642	12.800373	12.014084	6.034529	2.870352
ACO2	36.214305	14.862801	23.723858	29.846266	20.77938
ACOD1	0.073951	0.01218	0	0.20342	0.007581
ACOT1	2.415354	1.950449	3.323386	2.559348	3.37198
ACOT11	0.075815	0.124874	0.107225	0.167744	0.067582
ACOT12	0.052698	0	0.006912	0	0.040516
ACOT13	11.999313	7.193455	11.883579	3.996084	5.258263
ACOT2	6.471985	7.03643	8.55595	8.540445	14.724126
ACOT4	5.050605	4.715098	5.249579	5.090277	8.71985
ACOT6	0.108871	0.022415	0.91391	0.056151	0.041851
ACOT7	7.592872	4.378746	6.00105	13.116751	6.086742
ACOT8	9.836083	3.09667	4.154097	4.593476	4.457847
ACOT9	3.257494	6.185154	5.242673	6.081875	3.208456
ACOX1	8.933249	11.502513	5.987943	17.531884	11.853565
ACOX2	22.53642	0.728371	37.498301	7.998517	4.105545
ACOX3	3.097616	8.390786	3.711554	6.367476	7.573729
ACOXL	0.028013	0.041526	0.049971	0.088615	0.05169
ACP1	24.597767	13.844836	18.838197	29.375721	14.638864
ACP2	14.126104	14.651224	15.651778	20.25468	13.5097
ACP4	0.071711	0.019686	0.037624	0.049315	0.098016
ACP5	22.466837	17.57422	9.292983	47.660101	13.834969
ACP6	1.024374	0.91789	1.155395	0.788678	1.076311
ACP7	0.015545	0	0.021748	0.042759	0
ACPP	0.076791	0.417388	1.039449	0.945256	0.468378
ACR	0.007819	0.051514	0.024613	0.010754	0.088168
ACRBP	0.713508	0.429044	2.923456	1.63555	0.667568
ACRV1	0.174675	0.047951	0.068733	0.110111	0.08953
ACSBG1	0.011737	0.012888	0.030789	0.032285	0.03409
ACSBG2	0.158797	0	0.044107	0.102778	0.210662
ACSF2	4.865595	7.167819	2.79754	14.327329	3.675338
ACSF3	1.000924	0.795801	1.085142	3.381599	1.993923
ACSL1	23.685135	17.136343	29.468764	19.066143	8.960808
ACSL3	25.74098	35.270291	25.213591	39.706167	38.388721
ACSL4	5.046852	11.846794	3.989553	8.504828	1.80856
ACSL5	1.816674	3.098636	0.996994	7.00439	1.550606
ACSL6	0.106574	0.045241	0.002306	0.080089	0.04843
ACSM1	1.037394	0.221666	0.735504	0.13111	0.229933
ACSM2A	0	0	0	0	0
ACSM2B	0.001973	0	0.002071	0	0.002023
ACSM3	0.319021	0.335613	0.144699	0.1472	0.17512
ACSM4	0.077994	0.032116	0.05456	0	0.57299
ACSM5	0.223431	0.742712	0.336753	0.609009	0.378959
ACSM6	0.051618	0.009447	0.018055	0.007888	0.023518
ACSS1	13.791137	2.437802	7.308469	4.955316	18.39475
ACSS2	9.181195	6.524564	4.54246	9.864294	4.676739
ACSS3	1.223681	0.572946	0.571725	0.109929	0.803188
ACTA1	0.473824	2.447706	0.418089	0.192541	0.187664
ACTA2	106.253858	90.299077	122.130064	26.992022	56.767017
ACTB	1431.827785	2130.140522	1500.452292	1846.863784	917.790662
ACTBL2	0.02881	0.142359	0.018139	0	0.011813
ACTC1	0.052056	0.743088	0.032774	0.162284	0.017788
ACTG1	2729.760856	1143.100948	775.173433	1593.281205	2180.283372
ACTG2	2.031942	2.991926	2.464587	0.923804	3.390761
ACTL10	1.03994	0.274582	0.733032	1.124581	1.318322
ACTL6A	48.486063	15.549315	20.074011	33.927328	28.978684
ACTL6B	0.026956	0	0.021214	0.027805	0.020724
ACTL7A	0	0	0	0	0
ACTL7B	0	0	0	0.009307	0
ACTL8	0.164102	0	0.099691	2.922205	0.46925
ACTL9	0	0	0	0	0
ACTN1	25.613927	36.04949	33.016662	22.433965	23.501785
ACTN2	0.160119	0.028771	1.203592	0.892897	0.017906
ACTN3	0.013733	0.052777	0.033623	0.04407	0.065695
ACTN4	71.012972	66.248547	87.459948	51.74268	90.571325
ACTR10	12.527824	16.997284	19.009397	14.74139	23.854184
ACTR1A	28.102031	24.653834	27.598113	33.727635	37.896493
ACTR1B	21.810783	18.356383	25.999656	19.355316	24.863577
ACTR2	89.192033	106.512553	87.61307	116.986597	48.94842
ACTR3	20.716953	25.03791	17.122992	26.181462	8.615371
ACTR3B	1.242719	1.637492	0.807636	2.591347	1.34515
ACTR3C	0.29158	0.414582	0.198742	0.253642	0.22226
ACTR5	7.123831	4.259231	4.10307	10.678342	6.974551
ACTR6	12.903029	5.257464	6.388616	5.934793	14.218144
ACTR8	7.93479	6.130301	4.428923	4.971929	12.205073
ACTRT1	0	0	0.011756	0	0
ACTRT2	0	0	0	0	0
ACTRT3	0.489802	0.700943	0.842547	1.192699	0.493868
ACVR1	9.635329	17.451917	9.860635	6.731462	5.10407
ACVR1B	10.403668	5.946477	21.097026	11.300712	22.069356
ACVR1C	0.197848	0.129772	0.055116	0.036121	0.123843
ACVR2A	1.859616	3.59955	1.646886	1.556825	1.701536
ACVR2B	1.930599	1.216028	1.246807	0.610374	1.814497
ACVRL1	2.858891	5.771616	3.009914	4.243929	5.792575
ACY1	1.612373	0.73456	1.131346	0.808849	1.929169
ACY3	0.18576	0.020398	0.077968	0.357682	0.012695
ACYP1	5.229408	1.2387	2.541758	4.293742	4.302905
ACYP2	1.884298	1.46366	1.55182	1.810989	1.000712
ADA	1.874104	2.779988	2.387063	6.288643	1.741772
ADA2	7.366786	11.402229	4.106761	34.694593	2.856801
ADAD1	0	0	0	0	0
ADAD2	0.003916	0.064502	0.008218	0.016158	0.012043
ADAL	3.446215	1.252106	1.692851	1.07652	1.376729
ADAM10	6.959273	10.519473	3.863838	5.880676	7.180954
ADAM11	0.438763	0.066709	0.138119	0.232099	0.256028
ADAM12	9.938744	47.558146	8.818314	2.950801	3.253821
ADAM15	30.127372	13.383258	68.113614	37.356616	16.987208
ADAM17	5.943023	11.35331	7.079025	9.556929	3.615668
ADAM18	0.168358	0	0	0	0.22436
ADAM19	1.872392	6.312543	2.368186	5.23665	0.739056
ADAM2	0	0.009128	0.01163	0	4.113076
ADAM20	0	0.009487	0.042308	0.055455	0.041332
ADAM21	0.278617	0.069834	0.184311	0.124956	0.06209
ADAM22	0.259984	1.071628	0.868264	0.608054	0.630429
ADAM23	0.200582	1.470174	0.389374	0.700027	0.182486
ADAM28	0.593972	0.96698	0.4137	1.671738	0.185313
ADAM29	0	0	0	0	0.008311
ADAM30	0	0	0	0.029892	0
ADAM32	0.460024	0.105603	0.144644	0.035272	0.205389
ADAM33	0.281474	0.886318	0.379326	0.121452	0.404524
ADAM7	0	0	0	0	0
ADAM8	4.58727	4.881756	4.693302	7.578389	1.122095
